Subject,Stage,Event,Region,FrequencyBand,FreqRange_Hz,MeanPower_dB,StdPower_dB,N_Windows
101,early,eye_open,Left_Frontal,theta,4-8Hz,15.7484403570459,1.64615240638899,24
101,later,eye_open,Left_Frontal,theta,4-8Hz,15.3525068400001,2.15756944868538,24
101,early,eye_open,Right_Frontal,theta,4-8Hz,15.3879881247547,1.75680871757086,24
101,later,eye_open,Right_Frontal,theta,4-8Hz,15.8159744979461,1.75631867654603,24
101,early,eye_open,Left_Temporal,theta,4-8Hz,15.7342569952237,1.70423482012986,24
101,later,eye_open,Left_Temporal,theta,4-8Hz,15.3558390906764,2.28684910257853,24
101,early,eye_open,Right_Temporal,theta,4-8Hz,15.4715348011516,1.8491261464665,24
101,later,eye_open,Right_Temporal,theta,4-8Hz,15.6672645920959,1.93447429087337,24
101,early,eye_open,Left_Parietal,theta,4-8Hz,15.7119787225433,1.70415448635712,24
101,later,eye_open,Left_Parietal,theta,4-8Hz,15.495378456703,2.14842393722331,24
101,early,eye_open,Right_Parietal,theta,4-8Hz,15.5215716202796,1.76515691339266,24
101,later,eye_open,Right_Parietal,theta,4-8Hz,15.6296840280848,2.00815133113792,24
101,early,eye_open,Left_Occipital,theta,4-8Hz,15.6354006025861,1.7247207552537,24
101,later,eye_open,Left_Occipital,theta,4-8Hz,15.5668561561577,2.09358782069241,24
101,early,eye_open,Right_Occipital,theta,4-8Hz,15.5691892599981,1.74319248315498,24
101,later,eye_open,Right_Occipital,theta,4-8Hz,15.5830668241148,2.08348685509857,24
101,early,eye_closed,Left_Frontal,theta,4-8Hz,16.8960667822266,2.32950937455316,24
101,later,eye_closed,Left_Frontal,theta,4-8Hz,17.2658554838678,1.96667926283453,24
101,early,eye_closed,Right_Frontal,theta,4-8Hz,17.3071360875212,1.86554350187379,24
101,later,eye_closed,Right_Frontal,theta,4-8Hz,16.2127005375159,2.13914306961984,24
101,early,eye_closed,Left_Temporal,theta,4-8Hz,17.0984792711019,2.2492219779394,24
101,later,eye_closed,Left_Temporal,theta,4-8Hz,17.1285207953026,2.05727258950239,24
101,early,eye_closed,Right_Temporal,theta,4-8Hz,17.3324522513038,2.03272946238128,24
101,later,eye_closed,Right_Temporal,theta,4-8Hz,16.5110333652691,2.17050871086913,24
101,early,eye_closed,Left_Parietal,theta,4-8Hz,17.2508179332707,2.11908595512439,24
101,later,eye_closed,Left_Parietal,theta,4-8Hz,17.0317909159206,2.05401511941267,24
101,early,eye_closed,Right_Parietal,theta,4-8Hz,17.340376183018,2.05422861628038,24
101,later,eye_closed,Right_Parietal,theta,4-8Hz,16.5920427109079,2.18385587013701,24
101,early,eye_closed,Left_Occipital,theta,4-8Hz,17.3313817575897,2.06274179712739,24
101,later,eye_closed,Left_Occipital,theta,4-8Hz,16.8883863597161,2.08226569343205,24
