Subject,Stage1,Stage2,Event,Region,FrequencyBand,FreqRange_Hz,Mean_Stage1_dB,Mean_Stage2_dB,Direction,Z_Score,P_Value,Significant
101,early,later,eye_open,Left_Frontal,theta,4-8Hz,15.7484403570459,15.3525068400001,Decrease,178,0.423710797166793,0
101,early,later,eye_open,Right_Frontal,theta,4-8Hz,15.3879881247547,15.8159744979461,Increase,123,0.440452945294225,0
101,early,later,eye_open,Left_Temporal,theta,4-8Hz,15.7342569952237,15.3558390906764,Decrease,170,0.567709166197353,0
101,early,later,eye_open,Right_Temporal,theta,4-8Hz,15.4715348011516,15.6672645920959,Increase,151,0.977206399475098,0
101,early,later,eye_open,Left_Parietal,theta,4-8Hz,15.7119787225433,15.495378456703,Decrease,167,0.627169753539399,0
101,early,later,eye_open,Right_Parietal,theta,4-8Hz,15.5215716202796,15.6296840280848,Increase,155,0.886403006367064,0
101,early,later,eye_open,Left_Occipital,theta,4-8Hz,15.6354006025861,15.5668561561577,Decrease,161,0.753304047285912,0
101,early,later,eye_open,Right_Occipital,theta,4-8Hz,15.5691892599981,15.5830668241148,Increase,160,0.775096962195985,0
101,early,later,eye_closed,Left_Frontal,theta,4-8Hz,16.8960667822266,17.2658554838678,Increase,123,0.440452945294225,0
101,early,later,eye_closed,Right_Frontal,theta,4-8Hz,17.3071360875212,16.2127005375159,Decrease,215,0.0632908322333453,0
101,early,later,eye_closed,Left_Temporal,theta,4-8Hz,17.0984792711019,17.1285207953026,Increase,145,0.886403006367064,0
101,early,later,eye_closed,Right_Temporal,theta,4-8Hz,17.3324522513038,16.5110333652691,Decrease,193,0.219232533281333,0
101,early,later,eye_closed,Left_Parietal,theta,4-8Hz,17.2508179332707,17.0317909159206,Decrease,159,0.797068494359122,0
101,early,later,eye_closed,Right_Parietal,theta,4-8Hz,17.340376183018,16.5920427109079,Decrease,190,0.253097908947116,0
101,early,later,eye_closed,Left_Occipital,theta,4-8Hz,17.3313817575897,16.8883863597161,Decrease,171,0.548506235500147,0
101,early,later,eye_closed,Right_Occipital,theta,4-8Hz,17.3420018789191,16.8012005848158,Decrease,173,0.51108906411744,0
101,early,later,eye_open,Left_Frontal,alpha,9-13Hz,14.471709278843,15.2836468935096,Increase,95,0.116083133738655,0
101,early,later,eye_open,Right_Frontal,alpha,9-13Hz,14.7357496132047,15.0233994000235,Increase,139,0.753304047285912,0
101,early,later,eye_open,Left_Temporal,alpha,9-13Hz,14.3660688819499,15.2637922832309,Increase,107,0.219232533281333,0
101,early,later,eye_open,Right_Temporal,alpha,9-13Hz,14.3842914786881,14.9450095807187,Increase,131,0.587228165762067,0
101,early,later,eye_open,Left_Parietal,alpha,9-13Hz,14.3117517632243,15.1962926122599,Increase,108,0.230139340443417,0
101,early,later,eye_open,Right_Parietal,alpha,9-13Hz,14.3283368917146,14.9433243906164,Increase,126,0.492893296439634,0
101,early,later,eye_open,Left_Occipital,alpha,9-13Hz,14.2940732647688,15.1319222209098,Increase,110,0.253097908947116,0
101,early,later,eye_open,Right_Occipital,alpha,9-13Hz,14.291128883061,15.0840811180819,Increase,113,0.290446394323729,0
101,early,later,eye_closed,Left_Frontal,alpha,9-13Hz,17.1365223271998,18.7837606493391,Increase,56,0.00723749486912433,1
101,early,later,eye_closed,Right_Frontal,alpha,9-13Hz,17.5572369467276,18.2671279085634,Increase,120,0.391365938307552,0
101,early,later,eye_closed,Left_Temporal,alpha,9-13Hz,17.1165337141413,18.6973755967588,Increase,67,0.0177194712911814,1
101,early,later,eye_closed,Right_Temporal,alpha,9-13Hz,17.4455635880582,18.4642008137455,Increase,84,0.0593334667549941,0
101,early,later,eye_closed,Left_Parietal,alpha,9-13Hz,17.123567620129,18.6044388911935,Increase,76,0.0344908717639674,1
101,early,later,eye_closed,Right_Parietal,alpha,9-13Hz,17.3946834479467,18.4877635466785,Increase,80,0.0455002638963584,1
101,early,later,eye_closed,Left_Occipital,alpha,9-13Hz,17.2211344024656,18.4357253937056,Increase,84,0.0593334667549941,0
101,early,later,eye_closed,Right_Occipital,alpha,9-13Hz,17.2692472609191,18.4522738713646,Increase,80,0.0455002638963584,1
103,early,later,eye_open,Left_Frontal,theta,4-8Hz,12.529843858352,11.1939157213745,Decrease,227,0.0278068950269972,1
103,early,later,eye_open,Right_Frontal,theta,4-8Hz,12.4284140705373,11.7322488516333,Decrease,199,0.161513318467542,0
103,early,later,eye_open,Left_Temporal,theta,4-8Hz,12.4931344905662,11.3369991802355,Decrease,209,0.0918508439618684,0
103,early,later,eye_open,Right_Temporal,theta,4-8Hz,12.4235671345185,11.5790630416549,Decrease,201,0.145076950287885,0
103,early,later,eye_open,Left_Parietal,theta,4-8Hz,12.5984603569585,11.389700279822,Decrease,210,0.0864762654936657,0
103,early,later,eye_open,Right_Parietal,theta,4-8Hz,12.4185647616446,11.5244944698598,Decrease,205,0.116083133738655,0
103,early,later,eye_open,Left_Occipital,theta,4-8Hz,12.5970908747418,11.5078424424785,Decrease,209,0.0918508439618684,0
103,early,later,eye_open,Right_Occipital,theta,4-8Hz,12.5550319810342,11.4454961595214,Decrease,208,0.097490596202208,0
103,early,later,eye_closed,Left_Frontal,theta,4-8Hz,13.6950838738465,11.421086264207,Decrease,268,0.000747794274304567,1
103,early,later,eye_closed,Right_Frontal,theta,4-8Hz,13.1177123323072,11.95481145728,Decrease,222,0.0396724862659754,1
103,early,later,eye_closed,Left_Temporal,theta,4-8Hz,13.6786925780281,11.4930717304103,Decrease,272,0.000490824933883608,1
103,early,later,eye_closed,Right_Temporal,theta,4-8Hz,13.1264775138762,11.6617020647054,Decrease,236,0.0140046983395002,1
103,early,later,eye_closed,Left_Parietal,theta,4-8Hz,13.6068503681369,11.5036469743007,Decrease,270,0.000606766845636065,1
103,early,later,eye_closed,Right_Parietal,theta,4-8Hz,13.2521781496385,11.6358541032288,Decrease,243,0.00788060407334873,1
103,early,later,eye_closed,Left_Occipital,theta,4-8Hz,13.5008523021343,11.5666435071455,Decrease,260,0.00167307472215232,1
103,early,later,eye_closed,Right_Occipital,theta,4-8Hz,13.4359204520647,11.591193794377,Decrease,255,0.00269979606326019,1
103,early,later,eye_open,Left_Frontal,alpha,9-13Hz,13.0948496989492,11.4110462258347,Decrease,261,0.00151691167732165,1
103,early,later,eye_open,Right_Frontal,alpha,9-13Hz,13.4336003970567,11.1305548910025,Decrease,274,0.000395817058265891,1
103,early,later,eye_open,Left_Temporal,alpha,9-13Hz,13.1608850780213,11.2718904827591,Decrease,259,0.00184390839870141,1
